Year,Human Population,Per Capita Income (2015 US Dollars/Person),Copper (metric tons),Aluminum (metric tons),Iron (metric tons),Nickel (metric tons,Zinc (metric tons),Tin (metric tons),Silicon (metric tons),Salt (metric tons),Magnesium (metric tons),Lithium (metric tons),Lead (metric tons),Oil (barrels),Coal (MILLIONS of TONS),Natural Gas (BILLIONS of cubic meters),Land (hectares),Freshwater (Cubic meters),Sawnwood (cubic meters),Roundwood (Cubic meters),Nitrogen (metric tons),Phosphate Rock (Metric tons),Potash (Metric tons potassium oxide),Sulfur (metric tons),CO2 Emissions (TONS),CH4 Emissions (TONS of CO2 Equivalent),"N2O Emissions (TONS of CO2 equivalent)
",,,,,,,,,,,,,,
1960,3019233536,3610,3940000,4490000,514000000,320000,3090000,183000,,84800000,,87100,2390000,7148652312.000,,,4397407885,1751856694173,,,12900000,41800000,9070000,19600000,15955755000,,,,,,,,,,,,,,,,
1961,3068370688,3689,4090000,4700000,495000000,361000,3490000,187000,,85000000,235000,57200,2390000,7609164928.000,,,,1765317094855,323575399,2516570889,14000000,45500000,9710000,20600000,15524516000,,,,,,,,,,,,,,,,
1962,3126686720,3812,4220000,5060000,499000000,357000,3570000,190000,,91500000,249000,47300,2510000,8254064448.000,,,,1836014016143,326104720,2527376421,11900000,63300000,9800000,21300000,15643748000,,,,,,,,,,,,,,,,
1963,3195779328,3923,4290000,5320000,510000000,339000,3660000,194000,,96100000,257000,49500,2560000,8855801112.000,,,,1919424571799,335095362,2551224280,17100000,54600000,11300000,21900000,15924230000,,,,,,,,,,,,,,,,
1964,3267212288,4089,4450000,5940000,573000000,371000,4030000,197000,1130000,98600000,288000,64000,2530000,9564014992.000,,,,1946670963025,354361463,2624429293,19400000,63700000,12300000,23500000,16305338000,,,,,,,,,,,,,,,,
1965,3337112064,4225,4660000,6310000,611000000,425000,4310000,204000,1160000,109000000,307000,68500,2700000,10646951888.000,,,,2094529301420,358376265,2645744086,21800000,71400000,13700000,25200000,16384297000,,,,,,,,,,,,,,,,
1966,3406416896,4374,4580000,6880000,626000000,412000,4500000,211000,1160000,111000000,316000,3450,2850000,11561337040.00,,,,2155354004443,359031622,2679482220,25000000,84500000,14600000,26500000,16714650000,,,,,,,,,,,,,,,,
1967,3475448064,4465,4630000,7570000,616000000,449000,4840000,218000,1490000,119000000,308000,7590,2870000,12403262392.000,,,,2133103824801,363784349,2710628705,28700000,87300000,15700000,28400000,17168934000,,,,,,,,,,,,,,,,
1968,3546810880,4637,5010000,8020000,668000000,497000,4970000,232000,1540000,126000000,254000,63700,3010000,13531298104.000,,,,2349150276457,374854643,2736598671,32100000,94100000,16200000,29500000,17888313000,,,,,,,,,,,,,,,,
1969,3620655360,4805,5520000,8970000,701000000,487000,5340000,229000,1590000,137000000,260000,68000,3240000,14565155056.000,,,,2358734737509,384830378,2763110631,35900000,92100000,17400000,30700000,18433380000,,,,,,,,,,,,,,,,
1970,3695390208,4895,5900000,9650000,757000000,628000,5460000,232000,1640000,146000000,328000,73100,3390000,16021387672.000,,,4503116142,2362057426681,389090528,2818825308,38800000,95100000,18200000,41900000,19497402000,,,,,,,,,,,,,,,,
1971,3770163200,5005,5940000,10300000,767000000,637000,5520000,235000,1570000,144000000,325000,73400,3490000,16936461360.00,,,,2435749010145,401472202,2846840784,41100000,94000000,19900000,42700000,20091360000,,,,,,,,,,,,,,,,
1972,3844800768,5183,6540000,11000000,757000000,611000,5440000,244000,1670000,146000000,322000,19700,3450000,17899582480.00,,,,2547232873087,404787077,2854216910,43000000,101000000,20000000,45500000,20819233000,,,,,,,,,,,,,,,,
1973,3920251392,5407,6920000,12100000,832000000,710000,5710000,238000,1780000,155000000,324000,79300,3490000,19531953000.000,,1224,,2606315331685,413430143,2924412348,46700000,111000000,18900000,48200000,21533800000,,,,,,,,,,,,,,,,
1974,3995516928,5401,7100000,13200000,881000000,770000,5780000,233000,1800000,166000000,334000,113000,3490000,19575493120.00,,1249,,2724754347202,398128315,2935559885,48400000,123000000,21100000,51200000,21338431000,,,,,,,,,,,,,,,,
1975,4069437184,5337,6740000,12100000,888000000,802000,5850000,222000,2100000,162000000,344000,122000,3440000,18593256512.000,,1254,,2638242268253,381849452,2885750712,49500000,109000000,24700000,50700000,21424679000,,,,,,,,,,,,,,,,
1976,4142505728,5520,7260000,12600000,886000000,792000,5690000,218000,2320000,161000000,354000,75000,3690000,20200992160.00,,1310,,2739688119549,406905862,2984303340,56900000,109000000,24300000,50900000,22296720000,,,,,,,,,,,,,,,,
1977,4215772416,5647,7420000,13800000,844000000,828000,5920000,231000,2260000,157000000,342000,74300,3410000,20906538328.000,,1363,,2790536167979,417002963,3001203766,62000000,121000000,25200000,52300000,22910028000,,,,,,,,,,,,,,,,
1978,4289657600,5781,7280000,14100000,833000000,658000,5850000,241000,2550000,168000000,295000,81900,3460000,21096514112.000,3554.019,1408,,2991132085753,426150225,3054804344,67200000,127000000,26100000,52100000,23300565000,,,,,,,,,,,,,,,,
1979,4365582848,5916,7350000,14600000,898000000,686000,5990000,245000,2840000,173000000,269000,76000,3510000,21989377112.000,3723.877,1502,,3110120552704,428491374,3119975277,71100000,134000000,25700000,53200000,23677932000,,,,,,,,,,,,,,,,
1980,4444007936,5922,7200000,15400000,884000000,779000,5950000,245000,2750000,169000000,282000,92800,3520000,20994558224.000,3787.257,1526,4623697337,3073437838693,420867512,3129014849,73600000,147000000,27900000,55000000,23585890000,,,,,,,,,,,,,,,,
1981,4524627456,5927,7690000,15100000,843000000,726000,5950000,238000,2600000,171000000,395000,90200,3350000,19784652720.00,3820.057,1554,,3053974246703,402783969,3116453738,77000000,145000000,27100000,53600000,23427910000,,,,,,,,,,,,,,,,
1982,4607984640,5844,7580000,13400000,783000000,621000,6130000,219000,2410000,164000000,378000,83600,3450000,19002120168.000,3971.796,1552,,3067192207543,394435693,3117183257,75900000,129000000,24500000,50600000,23293379000,,,,,,,,,,,,,,,,
1983,4691884032,5891,7610000,13900000,728000000,673000,6280000,197000,2540000,159000000,384000,93700,3350000,18759534160.00,4008.691,1559,,3033538895562,417295813,3202923408,80400000,143000000,27400000,49800000,23811387000,,,,,,,,,,,,,,,,
1984,4775836160,6059,7810000,15700000,823000000,773000,6520000,188000,2730000,173000000,396000,108000,3200000,19127290640.00,4209.098,1683,,3115820776136,426163218,3288759134,88600000,154000000,29300000,52500000,24970838000,,,,,,,,,,,,,,,,
1985,4861730816,6172,7990000,15400000,845000000,813000,6760000,181000,2830000,173000000,341000,122000,3390000,18959967048.000,4380.216,1738,,3128754701301,432774687,3295359395,91000000,151000000,29200000,53800000,25405866000,,,,,,,,,,,,,,,,
1986,4950063104,6270,7940000,15400000,855000000,852000,6840000,173000,2740000,175000000,422000,132000,3240000,19896522008.000,4486.504,1784,,3233087696664,447353843,3373371435,91100000,141000000,28800000,53700000,25744013000,,,,,,,,,,,,,,,,
1987,5040984576,6387,8240000,16500000,869000000,891000,7190000,180000,2760000,179000000,420000,139000,3430000,19942475216.000,4596.037,1873,,3271390124759,465614781,3429108270,95100000,147000000,30500000,57000000,26386772000,,,,,,,,,,,,,,,,
1988,5132294144,6564,8720000,18500000,967000000,952000,6770000,205000,2990000,186000000,432000,154000,3420000,20794820880.00,4688.946,1953,,3338411792004,470499077,3466078103,99300000,166000000,31800000,59200000,27166314000,,,,,,,,,,,,,,,,
1989,5223704064,6692,9040000,19000000,999000000,987000,6820000,233000,3380000,192000000,509000,173000,3400000,21045895328.000,4768.588,2025,,3369048487620,469481122,3504642370,99300000,163000000,29300000,58900000,27279247000,,,,,,,,,,,,,,,,
1990,5316175872,6764,9200000,19300000,982000000,974000,7150000,221000,4130000,183000000,595000,163000,3370000,21448437768.000,4644.939946,2057,4826463663,3321357298152,463008817,3542586466,97500000,162000000,27500000,57800000,27634754000,6909029785.15625,2368969970.703130,,,,,,,,,,,,,,
1991,5406245888,6747,9330000,19700000,956000000,1010000,7270000,201000,3950000,202000000,622000,149000,3260000,21390573880.000,4480.994604,2099,,3417687603175,418240068,3439052799,93800000,150000000,26100000,54600000,28002021000,6918609863.28125,2356090087.890630,,,,,,,,,,,,,,
1992,5492686336,6779,9470000,19500000,930000000,1010000,7250000,191000,3470000,185000000,675000,156000,3200000,21700256232.000,4431.65158,2099,,3319438058851,403259529,3348545287,93400000,139000000,23900000,50700000,27470730000,6895229980.46875,2348919921.875,,,,,,,,,,,,,,
1993,5577433600,6797,9490000,19800000,953000000,928000,6910000,190000,3200000,187000000,751000,127000,2900000,21669407600.00,4326.637833,2147,,3358249157599,394458052,3296021111,91600000,119000000,20400000,51600000,27689318000,6914180175.78125,2332620117.1875,,,,,,,,,,,,,,
1994,5660727808,6917,9500000,19200000,982000000,932000,7050000,178000,3170000,191000000,670000,128000,2800000,21969614552.000,4402.296195,2165,,3464070203270,395896837,3288530012,93800000,127000000,23100000,53400000,28265320000,6958839843.75,2424100097.65625,,,,,,,,,,,,,,
1995,5743219712,7029,10000000,19700000,1020000000,1040000,7280000,201000,3100000,199000000,588000,177000,2710000,22271137840.00,4557.478952,2197,,3420212914562,390752421,3337031788,100000000,130000000,24700000,54800000,28746965000,7032089843.75,2479909912.109380,,,,,,,,,,,,,,
1996,5825145344,7180,11000000,20800000,1020000000,1060000,7480000,220000,3200000,204000000,765000,214000,2920000,22864324160.00,4621.576089,2288,,3338874861936,386742898,3306200074,105000000,135000000,23900000,55200000,29444460000,7037109863.28125,2493520019.53125,,,,,,,,,,,,,,
1997,5906481152,7356,11500000,21700000,1040000000,1140000,7540000,241000,3400000,221000000,806000,213000,3100000,23374366400.0,4621.457637,2291,,3441859120538,393750973,3378069982,103000000,143000000,25500000,56900000,31407446000,7268600097.65625,2480570068.359380,,,,,,,,,,,,,,
1998,5987312640,7460,12100000,22600000,1050000000,1180000,7570000,231000,3200000,200000000,840000,178000,3060000,23965199200.0,4569.204848,2339,,3495761711662,378443601,3352082114,104000000,144000000,26000000,57400000,29699977000,7159870117.1875,2510939941.40625,,,,,,,,,,,,,,
1999,6067758592,7623,12800000,23600000,1020000000,1170000,7960000,245000,3400000,210000000,910000,188000,3080000,23422201840.00,4498.807243,2412,,3651048141907,388836580,3406577485,107000000,137000000,27200000,57400000,30221427000,7112040039.0625,2498219970.703130,,,,,,,,,,,,,,
2000,6148898816,7863,13200000,24300000,969000000,1290000,8770000,278000,3500000,195000000,995000,204000,3200000,24438118896.000,4638.046097,2497,4877473403,3785948890323,385242891,3484911014,108000000,132000000,27000000,59300000,30569544000,7124000000,2490419921.875,,,,,,,,,,,,,,
2001,6230747136,7915,13700000,24300000,937000000,1350000,8910000,246000,3500000,199000000,970000,210000,3120000,24437014552.000,4860.442286,2540,4887288255,3861642393124,379433546,3410897256,105000000,126000000,26400000,59500000,30407066000,7062720214.84375,2512179931.640630,,,,,,,,,,,,,,
2002,6312407552,7993,13600000,26100000,982000000,1350000,8880000,233000,3720000,214000000,993000,217000,2850000,24142247560.000,4913.941905,2603,4882991372,3806857575151,392430390,3469398739,109000000,136000000,27100000,62000000,31458270000,7199600097.65625,2570020019.53125,,,,,,,,,,,,,,
2003,6393898496,8135,13800000,28000000,1080000000,1370000,9520000,258000,4390000,225000000,1050000,256000,3200000,25214223360.00,5262.934405,2698,4875586353,3723071436326,399690000,3522032297,110000000,138000000,28600000,64100000,33304416000,7262509765.625,2604750000,,,,,,,,,,,,,,
2004,6475751424,8392,14700000,29900000,1200000000,1350000,9600000,298000,4900000,235000000,1000000,261000,3150000,26477000720.00,5663.163937,2782,4893447346,3852973536488,425294462,3582349140,117000000,142000000,32100000,66400000,33998959000,7505180175.78125,2687850097.65625,,,,,,,,,,,,,,
2005,6558176256,8619,15000000,31900000,1320000000,1460000,10000000,296000,5310000,249000000,1120000,342000,3470000,26703372552.000,6022.059478,2861,4883739801,3827437377208,437813366,3625901866,122000000,152000000,33800000,68500000,34331270000,7556279785.15625,2701330078.125,,,,,,,,,,,,,,
2006,6641416192,8888,15100000,33900000,1470000000,1570000,10300000,293000,5650000,261000000,,392000,3630000,26941578560.00,6366.749966,2954,4884437546,3992199319449,446142633,3585138731,125000000,151000000,30400000,67000000,35666416000,7749950195.3125,2733120117.1875,,,,,,,,,,,,,,
2007,6725948416,9160,15500000,37900000,1680000000,1740000,11100000,301000,6330000,261000000,,378000,3710000,26886418008.000,6643.599283,3030,4877801548,4003664798444,434362500,3620151625,131000000,160000000,34900000,67800000,35943770000,7729959960.9375,2802949951.171880,,,,,,,,,,,,,,
2008,6811597312,9232,15600000,39700000,1730000000,1630000,11900000,258000,6510000,261000000,,449000,3880000,27171033328.000,6841.755815,3150,4883255491,3948326264862,386902119,3504809817,128000000,166000000,33700000,68000000,36728857000,7782220214.84375,2775360107.421880,,,,,,,,,,,,,,
2009,6898306048,8993,16100000,37200000,1710000000,1410000,11600000,237000,6260000,265000000,,366000,3780000,26497544672.000,6968.196691,3055,4885847911,4072946984929,344337595,3396998592,128000000,162000000,20800000,68300000,36597756000,7812910156.25,2769550048.828130,,,,,,,,,,,,,,
2010,6985603072,9284,16100000,41800000,1870000000,1710000,12300000,266000,6930000,269000000,,481000,4160000,27026492160.00,7353.611991,3275,4873905819,3871886184482,375631667,3587131422,132000000,183000000,33900000,69800000,38202050000,7909879882.8125,2845370117.1875,,,,,,,,,,,,,,
2011,7073125376,9473,16100000,46800000,2030000000,2340000,12500000,268000,7370000,272000000,,610000,4750000,27235706656.000,7832.592388,3370,4892585748,,388699552,3670770195,139000000,200000000,35800000,69900000,39451124000,8050430175.78125,2914600097.65625,,,,,,,,,,,,,,
2012,7161697792,9609,16700000,49300000,2070000000,2570000,13300000,254000,7450000,259000000,,634000,5080000,27980231320.000,7935.771883,3429,4907391046,,404811164,3685075980,145000000,216000000,32800000,77400000,39833223000,8141109863.28125,2937790039.0625,,,,,,,,,,,,,,
2013,7250593280,9759,18400000,52200000,2230000000,2610000,13200000,322000,7950000,296000000,,582000,4930000,28024594880.00,7976.178249,3489,4901494665,,421364114,3737174501,140000000,232000000,35600000,77000000,39947320000,8109299804.6875,2918250000,,,,,,,,,,,,,,
2014,7339013632,9938,18600000,54100000,2370000000,2130000,13500000,322000,7900000,293000000,,621000,4630000,28684624672.000,7939.365324,3537,4917530645,3985681600000,435366614,3762393345,140000000,235000000,40800000,77900000,40495235000,8266809570.3125,2963010009.765630,,,,,,,,,,,,,,
2015,7426597376,10124,19200000,57800000,2370000000,2110000,13300000,307000,7800000,290000000,,616000,4510000,29645866480.00,7698.68697,3571,4922732139,,448062243,3755163271,142000000,261000000,40400000,77800000,40944280000,8315910156.25,2995510009.765630,,,,,,,,,,,,,,
2016,7513474048,10286,20400000,59500000,2370000000,2010000,12300000,309000,7700000,280000000,,741000,4640000,29745974008.000,7293.019213,3625,4932611551,,481779343,3850515038,144000000,265000000,38700000,78900000,40052040000,8227179687.5,3027260009.765630,,,,,,,,,,,,,,
2017,7599822336,10514,19900000,59500000,2440000000,2190000,12300000,341000,7230000,288000000,,1960000,4630000,29791843120.00,7544.795528,3762,,,501648693,3883014027,141000000,253000000,41900000,79600000,40428683000,8333400390.625,3087399902.34375,,,,,,,,,,,,,,
2018,7683789824,10742,20400000,63600000,2470000000,2400000,12600000,323000,8220000,,,2480000,4300000,30474258800.00,7827.227033,3973,,,508031629,4013780033,141000000,228000000,44000000,79600000,41007866000,8489969726.5625,3072530029.296880,,,,,,,,,,,,,,
2019,7764951040,10905,,63200000,2450000000,,12700000,296000,8410000,,,2070000,,30411551216.000,7960.009257,4115,,,504631796,3960970129,142000000,227000000,41300000,80000000,41639840000,8609919921.875,3096790039.0625,,,,,,,,,,,,,,
2020,7840952832,10463,,,,,,,,,,,,28328681344.000,7575.35634,4014,,,485385603,3912536068,,,,,39321846000,,,,,,,,,,,,,,,,
2021,7909295104,10980,,,,,,,,,,,,28671182160.00,,,,,494467630,3966686393,,,,,41062896000,,,,,,,,,,,,,,,,
